City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,buka,40.8108,69.1986,0.49,99,100,1.85,UZ,1734636865
242,lompoc,34.6391,-120.4579,26.4,21,40,3.09,US,1734636866
243,taytay,14.5678,121.1394,25.96,84,40,0.51,PH,1734636868
244,nuuk,64.1835,-51.7216,-9.66,79,75,1.03,GL,1734636869
245,yuzhno-kurilsk,44.0306,145.8556,-2.34,76,73,3.66,RU,1734636870
246,margate,51.3813,1.3862,5.94,76,7,0.89,GB,1734636871
247,puerto aysen,-45.4,-72.7,7.34,100,100,2.28,CL,1734636670
248,emporia,38.4039,-96.1817,12.11,43,0,4.12,US,1734636610
249,pandan,14.0453,124.1694,25.59,88,100,9.57,PH,1734636875
250,mar del plata,-38.0023,-57.5575,23.01,80,40,6.69,AR,1734636639
251,selfoss,63.9331,-20.9971,-1.45,94,100,6.69,IS,1734636877
252,flying fish cove,-10.4217,105.6791,24.82,94,100,2.57,CX,1734636878
253,mandan,46.8267,-100.8896,-14.01,74,0,11.83,US,1734636879
254,tralee,52.2704,-9.7026,6.7,84,92,3.07,IE,1734636881
255,wanganui,-39.9333,175.05,15.37,99,100,0.93,NZ,1734636882
256,gamba,-2.65,10.0,26.22,84,100,1.66,GA,1734636883
257,aykhal,66.0,111.5,-14.64,96,99,2.83,RU,1734636885
258,palmer,42.1584,-72.3287,4.75,52,75,6.69,US,1734636728
259,takelsa,36.7833,10.6333,15.8,48,79,3.7,TN,1734636887
260,enewetak,11.3474,162.3373,27.39,83,57,9.82,MH,1734636888
261,pascagoula,30.3658,-88.5561,15.0,67,100,3.6,US,1734636596
262,butembo,0.15,29.2833,14.99,94,73,1.1,CD,1734636891
263,khandud,36.9513,72.318,-16.07,63,14,0.66,AF,1734636894
264,nha trang,12.25,109.1833,24.0,87,100,4.68,VN,1734636896
265,badger,64.8,-147.5333,-23.9,79,20,0.0,US,1734636897
266,namibe,-15.1961,12.1522,21.55,72,33,3.44,AO,1734636898
267,turkmenbasy,40.0222,52.9552,5.43,81,100,0.0,TM,1734636899
268,kuala tungkal,-0.8167,103.4667,23.91,94,100,3.24,ID,1734636900
269,nar'yan-mar,67.6713,53.087,-22.16,93,79,3.28,RU,1734636901
270,pisco,-13.7,-76.2167,22.03,78,0,3.6,PE,1734636902
271,sechura,-5.5569,-80.8222,27.11,52,14,7.85,PE,1734636903
272,aasiaat,68.7098,-52.8699,-14.69,90,100,7.7,GL,1734636904
273,zaragoza,41.6561,-0.8773,9.33,64,20,6.17,ES,1734636745
274,al ain city,24.1917,55.7606,16.79,67,0,2.57,AE,1734636906
275,alvaraes,-3.2208,-64.8042,31.93,89,100,0.36,BR,1734636907
276,dunedin,-45.8742,170.5036,12.15,98,100,3.91,NZ,1734636908
277,bankim,6.083,11.4905,23.92,30,100,0.36,CM,1734636909
278,primero de mayo,-32.2552,-58.4228,26.01,53,100,2.31,AR,1734636910
279,as sulayyil,20.4607,45.5779,13.52,19,26,3.59,SA,1734636911
280,mumbwa,-14.9783,27.0619,20.22,83,100,1.56,ZM,1734636912
281,lamar,33.6668,-95.5836,14.94,63,0,3.6,US,1734636914
282,la ronge,55.1001,-105.2842,-20.86,77,75,2.57,CA,1734636915
283,arauca,7.0847,-70.7591,33.98,55,40,1.54,CO,1734636916
284,dalcahue,-42.3628,-73.7022,17.06,72,75,6.69,CL,1734636678
285,srikakulam,18.3,83.9,22.26,79,100,3.36,IN,1734636918
286,atar,20.5169,-13.0499,19.27,19,6,4.29,MR,1734636919
287,sarh,9.1429,18.3923,24.93,22,99,2.21,TD,1734636920
288,hamilton,39.1834,-84.5333,4.32,71,100,2.06,US,1734636921
289,port elizabeth,-33.918,25.5701,20.17,95,100,7.2,ZA,1734636922
290,sengiley,53.9622,48.7944,-14.87,95,90,2.74,RU,1734636923
291,zlatoust,55.1711,59.6508,-11.43,97,91,1.79,RU,1734636924
292,puerto armuelles,8.2833,-82.8667,28.38,73,100,3.13,PA,1734636925
293,papao,-17.75,-149.55,28.82,84,86,3.6,PF,1734636927
294,altay,47.8667,88.1167,-11.1,52,0,3.49,CN,1734636928
295,bayanhongor,46.7167,100.1167,-26.98,84,3,1.38,MN,1734636929
296,jaguaruna,-28.615,-49.0256,24.54,78,84,6.61,BR,1734636930
297,la sarre,48.8002,-79.1996,-16.67,88,98,1.92,CA,1734636932
298,gloversville,43.0528,-74.3438,0.42,72,100,4.63,US,1734636933
299,santa ana,33.7456,-117.8678,25.27,38,100,0.89,US,1734636934
300,tweed heads,-28.1817,153.547,20.66,83,75,4.12,AU,1734636935
301,haiku-pauwela,20.9219,-156.3051,25.14,76,0,3.13,US,1734636936
302,bien unido,10.1373,124.3776,26.24,86,100,3.02,PH,1734636937
303,callao,-12.0667,-77.15,22.16,73,0,2.57,PE,1734636938
304,delta,5.5,6.0,26.14,23,16,1.09,NG,1734636788
305,berezovyy,51.6667,135.7,-27.1,95,16,1.96,RU,1734636940
306,dzilam gonzalez,21.2833,-88.9333,27.82,61,75,3.23,MX,1734636941
307,khark,29.2614,50.3306,18.71,41,12,5.88,IR,1734636891
308,tocopilla,-22.092,-70.1979,20.18,70,100,3.25,CL,1734636666
309,borogontsy,62.6683,131.1683,-35.83,100,100,1.2,RU,1734636944
310,turkestan,43.3333,68.25,0.37,95,100,4.93,KZ,1734636945
311,south hedland,-20.4089,118.5983,28.96,89,100,1.54,AU,1734636947
312,sibiti,-3.6819,13.3499,21.94,96,98,0.24,CG,1734636948
313,mount gambier,-37.8333,140.7667,14.05,58,12,2.1,AU,1734636950
314,al jawf,29.5,38.75,17.1,32,88,5.28,SA,1734636951
